method,mechanism,rate,seed,n_test_patients,shap_rmse,lime_mean_rho,lime_median_rho,lime_n_valid,lime_n_invalid
Mean/Mode,MCAR,0.2,48,60,0.03278316723242984,0.7884615384615384,0.7857142857142857,60,0
Mean/Mode,MCAR,0.2,49,60,0.02707362280094833,0.9192307692307692,0.9258241758241759,60,0
Mean/Mode,MCAR,0.3,42,60,0.020659272403856555,0.9066849816849818,0.9093406593406594,60,0
Mean/Mode,MCAR,0.3,43,60,0.02261880455531624,0.8668498168498168,0.8708791208791209,60,0
Mean/Mode,MCAR,0.3,44,60,0.02653890241173642,0.9043956043956045,0.9065934065934067,60,0
Mean/Mode,MCAR,0.3,45,60,0.03180284239596093,0.8993589743589742,0.9120879120879121,60,0
Mean/Mode,MCAR,0.3,46,60,0.03134269007952323,0.9224358974358976,0.9285714285714285,60,0
Mean/Mode,MCAR,0.3,47,60,0.030210296501054817,0.8642857142857143,0.8736263736263737,60,0
Mean/Mode,MCAR,0.3,48,60,0.03125078644504032,0.7964285714285714,0.8076923076923077,60,0
Mean/Mode,MCAR,0.3,49,60,0.02832336671739371,0.9106227106227107,0.9175824175824175,60,0
Mean/Mode,MNAR,0.1,42,60,0.020886214790485,0.8911172161172161,0.8956043956043955,60,0
Mean/Mode,MNAR,0.1,43,60,0.0196537805764998,0.9274725274725275,0.9285714285714285,60,0
Mean/Mode,MNAR,0.1,44,60,0.018096347830843233,0.9427655677655677,0.9505494505494506,60,0
Mean/Mode,MNAR,0.1,45,60,0.026430784464795777,0.9148351648351648,0.9230769230769231,60,0
Mean/Mode,MNAR,0.1,46,60,0.025505448122332887,0.9282051282051283,0.9285714285714285,60,0
Mean/Mode,MNAR,0.1,47,60,0.02081994416962107,0.9260073260073262,0.9230769230769231,60,0
Mean/Mode,MNAR,0.1,48,60,0.018968010646307,0.9397435897435897,0.945054945054945,60,0
Mean/Mode,MNAR,0.1,49,60,0.023277690210456035,0.960989010989011,0.9642857142857142,60,0
Mean/Mode,MNAR,0.2,42,60,0.044220945274019034,0.7794871794871795,0.7994505494505495,60,0
Mean/Mode,MNAR,0.2,43,60,0.03839492967929866,0.894230769230769,0.8983516483516483,60,0
Mean/Mode,MNAR,0.2,44,60,0.03089430683610706,0.866941391941392,0.8736263736263737,60,0
Mean/Mode,MNAR,0.2,45,60,0.036960062807074395,0.7777472527472528,0.7884615384615385,60,0
Mean/Mode,MNAR,0.2,46,60,0.032028359111332005,0.8608974358974357,0.8708791208791209,60,0
