method,mechanism,rate,seed,nrmse,pfc,variant_filename,n_missing_cells_scored,n_continuous_cells_scored,n_categorical_cells_scored
Mean/Mode,MAR,0.2,45,1.1105055460937459,0.4406779661016949,MAR_rate20_seed45.csv,649,236,413
Mean/Mode,MAR,0.2,46,1.1462482593873955,0.47699757869249393,MAR_rate20_seed46.csv,649,236,413
Mean/Mode,MAR,0.2,47,1.1854094552985897,0.42857142857142855,MAR_rate20_seed47.csv,649,236,413
Mean/Mode,MAR,0.2,48,1.1749529401317735,0.4406779661016949,MAR_rate20_seed48.csv,649,236,413
Mean/Mode,MAR,0.2,49,1.136466026286811,0.48184019370460046,MAR_rate20_seed49.csv,649,236,413
Mean/Mode,MAR,0.3,42,1.0918297814307856,0.4767255216693419,MAR_rate30_seed42.csv,979,356,623
Mean/Mode,MAR,0.3,43,1.097182551248824,0.4590690208667737,MAR_rate30_seed43.csv,979,356,623
Mean/Mode,MAR,0.3,44,1.0972711406465052,0.45264847512038525,MAR_rate30_seed44.csv,979,356,623
Mean/Mode,MAR,0.3,45,1.1194934105342584,0.45425361155698235,MAR_rate30_seed45.csv,979,356,623
Mean/Mode,MAR,0.3,46,1.0636009444773513,0.47030497592295345,MAR_rate30_seed46.csv,979,356,623
Mean/Mode,MAR,0.3,47,1.1161839591124245,0.4767255216693419,MAR_rate30_seed47.csv,979,356,623
Mean/Mode,MAR,0.3,48,1.0562210849842641,0.4622792937399679,MAR_rate30_seed48.csv,979,356,623
Mean/Mode,MAR,0.3,49,1.1060039478432162,0.463884430176565,MAR_rate30_seed49.csv,979,356,623
Mean/Mode,MCAR,0.1,42,0.8633535067341516,0.42857142857142855,MCAR_rate10_seed42.csv,330,120,210
Mean/Mode,MCAR,0.1,43,1.0424383569093743,0.43333333333333335,MCAR_rate10_seed43.csv,330,120,210
Mean/Mode,MCAR,0.1,44,0.8800478312338702,0.48095238095238096,MCAR_rate10_seed44.csv,330,120,210
Mean/Mode,MCAR,0.1,45,0.9561741685157821,0.3904761904761905,MCAR_rate10_seed45.csv,330,120,210
Mean/Mode,MCAR,0.1,46,0.9757689616384838,0.5,MCAR_rate10_seed46.csv,330,120,210
Mean/Mode,MCAR,0.1,47,0.991361330926119,0.4142857142857143,MCAR_rate10_seed47.csv,330,120,210
Mean/Mode,MCAR,0.1,48,1.0381704279124004,0.4095238095238095,MCAR_rate10_seed48.csv,330,120,210
Mean/Mode,MCAR,0.1,49,1.003432475548915,0.48095238095238096,MCAR_rate10_seed49.csv,330,120,210
Mean/Mode,MCAR,0.2,42,1.0110501107325172,0.423728813559322,MCAR_rate20_seed42.csv,649,236,413
Mean/Mode,MCAR,0.2,43,0.8850052535855,0.4261501210653753,MCAR_rate20_seed43.csv,649,236,413
Mean/Mode,MCAR,0.2,44,0.9612308871546369,0.4067796610169492,MCAR_rate20_seed44.csv,649,236,413
Mean/Mode,MCAR,0.2,45,0.9898265001176424,0.4092009685230024,MCAR_rate20_seed45.csv,649,236,413
Mean/Mode,MCAR,0.2,46,0.9730044927891061,0.4406779661016949,MCAR_rate20_seed46.csv,649,236,413
Mean/Mode,MCAR,0.2,47,0.9991128072862746,0.4261501210653753,MCAR_rate20_seed47.csv,649,236,413
Mean/Mode,MCAR,0.2,48,1.0266888282026179,0.4358353510895884,MCAR_rate20_seed48.csv,649,236,413
Mean/Mode,MCAR,0.2,49,1.0646570878531827,0.45036319612590797,MCAR_rate20_seed49.csv,649,236,413
Mean/Mode,MCAR,0.3,42,1.0759735367996595,0.4189406099518459,MCAR_rate30_seed42.csv,979,356,623
Mean/Mode,MCAR,0.3,43,1.001092315033874,0.41252006420545745,MCAR_rate30_seed43.csv,979,356,623
Mean/Mode,MCAR,0.3,44,1.0272702876677158,0.4173354735152488,MCAR_rate30_seed44.csv,979,356,623
Mean/Mode,MCAR,0.3,45,0.9801881986588631,0.4301765650080257,MCAR_rate30_seed45.csv,979,356,623
